#chrom	chromStart	chromEnd	name	strand	geneName
chr1	41302931	41306148	ENST00000662236.1	-	AC093151.5
chr1	41302937	41303972	ENST00000665468.1	-	AC093151.5
chr1	41303019	41305912	ENST00000653728.1	-	AC093151.5
chr1	41303019	41305943	ENST00000670055.1	-	AC093151.5
chr1	41361921	41383590	ENST00000372591.1	+	FOXO6
chr1	41361930	41382678	ENST00000641094.1	+	FOXO6
chr1	41375003	41375669	ENST00000429109.1	-	FOXO6-AS1
chr1	41466936	41467028	ENST00000516754.1	-	RNA5SP45
chr1	41478774	41484683	ENST00000372587.5	-	EDN2
chr1	41479126	41484673	ENST00000490783.5	-	EDN2
chr1	41479453	41484085	ENST00000460255.1	-	EDN2
chr1	41479453	41484085	ENST00000467046.5	-	EDN2
chr1	41479453	41484085	ENST00000467872.5	-	EDN2
chr1	41506364	41662325	ENST00000643665.1	-	HIVEP3
chr1	41506364	41918707	ENST00000372584.5	-	HIVEP3
chr1	41506364	41918922	ENST00000372583.6	-	HIVEP3
chr1	41510229	41579900	ENST00000460604.1	-	HIVEP3
chr1	41535442	41535868	ENST00000440249.1	+	AL445933.2
chr1	41542068	41544310	ENST00000434240.2	+	AL445933.1
chr1	41585305	41628816	ENST00000646142.1	-	AC119676.1
chr1	41847190	41918669	ENST00000491442.5	-	HIVEP3
chr1	41847190	42035925	ENST00000489103.5	-	HIVEP3
chr1	41847947	41869630	ENST00000479350.1	-	HIVEP3
chr1	42036142	42051784	ENST00000670076.1	+	AL158216.1
chr1	42040596	42041729	ENST00000391730.2	+	HNRNPFP1
chr1	42140634	42141391	ENST00000434936.2	+	AC114492.1
chr1	42153409	42155820	ENST00000372581.2	+	GUCA2B
chr1	42162689	42164745	ENST00000357001.3	-	GUCA2A
chr1	42176538	42189809	ENST00000372571.5	-	FOXJ3
chr1	42176538	42334965	ENST00000372572.5	-	FOXJ3
chr1	42176538	42335877	ENST00000372573.5	-	FOXJ3
chr1	42176544	42315459	ENST00000545068.5	-	FOXJ3
chr1	42176544	42335215	ENST00000361776.5	-	FOXJ3
chr1	42176547	42335235	ENST00000361346.6	-	FOXJ3
chr1	42191405	42335221	ENST00000445886.5	-	FOXJ3
chr1	42194996	42206011	ENST00000422278.1	-	FOXJ3
chr1	42264930	42278587	ENST00000454417.1	-	FOXJ3
chr1	42335385	42338376	ENST00000436207.2	-	AC096540.1
chr1	42380791	42424232	ENST00000431473.4	+	RIMKLA
chr1	42380794	42410165	ENST00000410070.6	+	RIMKLA
chr1	42412397	42412794	ENST00000411908.1	-	AL513331.1
chr1	42430328	42456022	ENST00000372565.8	-	ZMYND12
chr1	42430414	42456253	ENST00000611861.4	-	ZMYND12
chr1	42432859	42435522	ENST00000475426.1	-	ZMYND12
chr1	42436420	42456011	ENST00000461083.1	-	ZMYND12
chr1	42456116	42460081	ENST00000372562.1	+	PPCS
chr1	42456538	42457504	ENST00000372560.3	+	PPCS
chr1	42456542	42461236	ENST00000372561.4	+	PPCS
chr1	42456543	42460412	ENST00000472013.1	+	PPCS
chr1	42456560	42460414	ENST00000372556.3	+	PPCS
chr1	42456800	42473385	ENST00000471420.1	+	PPCS
chr1	42457293	42460016	ENST00000482168.1	+	PPCS
chr1	42459203	42460278	ENST00000469615.1	+	PPCS
chr1	42463220	42484158	ENST00000654683.1	+	CCDC30
chr1	42463221	42654175	ENST00000660938.1	+	CCDC30
chr1	42463223	42654176	ENST00000665812.1	+	CCDC30
chr1	42463236	42654176	ENST00000667205.1	+	CCDC30
chr1	42463245	42612669	ENST00000663155.1	+	CCDC30
chr1	42463248	42581447	ENST00000669138.1	+	CCDC30
chr1	42463268	42473417	ENST00000468651.2	+	CCDC30
chr1	42463285	42590268	ENST00000655164.1	+	CCDC30
chr1	42463285	42657190	ENST00000657597.1	+	CCDC30
chr1	42463288	42483742	ENST00000475614.7	+	CCDC30
chr1	42463290	42483924	ENST00000667947.1	+	CCDC30
chr1	42463293	42654165	ENST00000668663.1	+	CCDC30
chr1	42463293	42654415	ENST00000660083.1	+	CCDC30
chr1	42463297	42590143	ENST00000658812.1	+	CCDC30
chr1	42463311	42483909	ENST00000655845.1	+	CCDC30
chr1	42463311	42590268	ENST00000671281.1	+	CCDC30
chr1	42463311	42654154	ENST00000664805.1	+	CCDC30
chr1	42463315	42590252	ENST00000663866.1	+	CCDC30
chr1	42463328	42637342	ENST00000654604.1	+	CCDC30
chr1	42463329	42484102	ENST00000655447.1	+	CCDC30
chr1	42463338	42566698	ENST00000661864.1	+	CCDC30
chr1	42463340	42589461	ENST00000664418.1	+	CCDC30
chr1	42463342	42653860	ENST00000665176.1	+	CCDC30
chr1	42463343	42630603	ENST00000665792.1	+	CCDC30
chr1	42463353	42654186	ENST00000477155.6	+	CCDC30
chr1	42463460	42581455	ENST00000670982.1	+	CCDC30
chr1	42463525	42545418	ENST00000668036.1	+	CCDC30
chr1	42463715	42654135	ENST00000664192.1	+	CCDC30
chr1	42463921	42473560	ENST00000492422.1	+	CCDC30
chr1	42467743	42473385	ENST00000462063.1	+	CCDC30
chr1	42479309	42484148	ENST00000670292.1	+	CCDC30
chr1	42480460	42654052	ENST00000670783.1	+	CCDC30
chr1	42480660	42654107	ENST00000340612.6	+	CCDC30
chr1	42482655	42654181	ENST00000428554.6	+	CCDC30
chr1	42482668	42537985	ENST00000495044.6	+	CCDC30
chr1	42482754	42581429	ENST00000653735.1	+	CCDC30
chr1	42489928	42654186	ENST00000507855.5	+	CCDC30
chr1	42490173	42592928	ENST00000666893.1	+	CCDC30
chr1	42490206	42654189	ENST00000671538.1	+	CCDC30
chr1	42490222	42545519	ENST00000656470.1	+	CCDC30
chr1	42491738	42492493	ENST00000426743.1	+	RPS3AP11
chr1	42497110	42581416	ENST00000509712.6	+	CCDC30
chr1	42498842	42515216	ENST00000665466.1	+	CCDC30
chr1	42500204	42500339	ENST00000424567.1	-	TMSB4XP1
chr1	42533859	42642579	ENST00000471390.6	+	CCDC30
chr1	42533873	42556339	ENST00000660830.1	+	CCDC30
chr1	42533878	42556270	ENST00000665217.1	+	CCDC30
chr1	42534566	42545539	ENST00000653544.1	+	CCDC30
chr1	42534888	42654664	ENST00000342022.8	+	CCDC30
chr1	42536529	42566470	ENST00000660910.1	+	CCDC30
chr1	42536572	42595573	ENST00000514642.1	+	CCDC30
chr1	42566159	42654142	ENST00000667055.1	+	CCDC30
chr1	42569032	42569139	ENST00000363384.1	+	RNU6-536P
chr1	42570969	42571390	ENST00000454425.2	+	AL445669.1
chr1	42577061	42590441	ENST00000657248.1	+	CCDC30
chr1	42581415	42590461	ENST00000471699.2	+	CCDC30
chr1	42590451	42592825	ENST00000655265.1	+	CCDC30
chr1	42608776	42647043	ENST00000669471.1	+	CCDC30
chr1	42610334	42653985	ENST00000665137.1	+	CCDC30
chr1	42610464	42653692	ENST00000663139.1	+	CCDC30
chr1	42630280	42654155	ENST00000656306.1	+	CCDC30
chr1	42658334	42676043	ENST00000677900.1	+	PPIH
chr1	42658334	42676748	ENST00000678038.1	+	PPIH
chr1	42658334	42676757	ENST00000372550.6	+	PPIH
chr1	42658367	42676713	ENST00000676675.1	+	PPIH
chr1	42658422	42676446	ENST00000678193.1	+	PPIH
chr1	42658422	42676758	ENST00000304979.8	+	PPIH
chr1	42658425	42669179	ENST00000678803.1	+	PPIH
chr1	42658435	42669155	ENST00000677926.1	+	PPIH
chr1	42658435	42676202	ENST00000678333.1	+	PPIH
chr1	42658446	42676758	ENST00000677307.1	+	PPIH
chr1	42658511	42667419	ENST00000440068.6	+	PPIH
chr1	42658686	42682160	ENST00000649886.1	-	AC098484.4
chr1	42658700	42676043	ENST00000679245.1	+	PPIH
chr1	42658700	42676757	ENST00000677356.1	+	PPIH
chr1	42658702	42669031	ENST00000678308.1	+	PPIH
chr1	42658719	42659365	ENST00000372549.1	+	PPIH
chr1	42658724	42669173	ENST00000678076.1	+	PPIH
chr1	42659227	42669050	ENST00000677219.1	+	PPIH
chr1	42659227	42676619	ENST00000677312.1	+	PPIH
chr1	42659244	42660955	ENST00000436387.1	+	PPIH
chr1	42664862	42676758	ENST00000461351.1	+	PPIH
chr1	42673719	42681922	ENST00000667389.1	-	AC098484.4
chr1	42678734	42681659	ENST00000414339.2	+	AC098484.2
chr1	42682417	42703805	ENST00000321358.12	+	YBX1
chr1	42682439	42697262	ENST00000332220.10	+	YBX1
chr1	42682986	42702349	ENST00000436427.1	+	YBX1
chr1	42683155	42697211	ENST00000467957.1	+	YBX1
chr1	42733092	42740236	ENST00000296387.6	-	CLDN19
chr1	42733092	42740254	ENST00000539749.5	-	CLDN19
chr1	42734994	42740140	ENST00000372539.3	-	CLDN19
chr1	42746334	42767084	ENST00000397054.7	-	P3H1
chr1	42746373	42766989	ENST00000460031.5	-	P3H1
chr1	42746373	42767028	ENST00000296388.10	-	P3H1
chr1	42746374	42767012	ENST00000236040.8	-	P3H1
chr1	42746374	42767022	ENST00000495874.5	-	P3H1
chr1	42746507	42747798	ENST00000462474.5	-	P3H1
chr1	42746530	42747576	ENST00000472802.1	-	P3H1
chr1	42747722	42755209	ENST00000431412.3	-	P3H1
chr1	42747757	42748743	ENST00000460831.1	-	P3H1
chr1	42749900	42754936	ENST00000481465.3	-	P3H1
chr1	42751724	42754987	ENST00000447502.2	-	P3H1
chr1	42754979	42762403	ENST00000463465.1	-	P3H1
chr1	42759256	42767002	ENST00000372526.2	-	P3H1
chr1	42759985	42767017	ENST00000492956.1	-	P3H1
chr1	42767248	42779491	ENST00000372525.7	+	C1orf50
chr1	42767291	42794493	ENST00000464081.1	+	AC098484.3
chr1	42767305	42775759	ENST00000650521.1	+	AC098484.3
chr1	42767305	42789934	ENST00000603943.6	+	AC098484.3
chr1	42769677	42775428	ENST00000468913.2	+	C1orf50
chr1	42773186	42774770	ENST00000494155.1	+	C1orf50
chr1	42775812	42776790	ENST00000447572.1	-	AC098484.1
chr1	42785006	42816619	ENST00000421630.6	+	TMEM269
chr1	42785031	42800818	ENST00000637012.1	+	TMEM269
chr1	42787989	42798230	ENST00000536543.5	+	TMEM269
chr1	42793664	42796794	ENST00000605272.1	+	TMEM269
chr1	42807051	42816804	ENST00000372522.5	-	SVBP
chr1	42807051	42817397	ENST00000372521.9	-	SVBP
chr1	42813409	42817252	ENST00000497437.1	-	SVBP
chr1	42817121	42830499	ENST00000645239.1	+	ERMAP
chr1	42817121	42830774	ENST00000643061.1	+	ERMAP
chr1	42817121	42844991	ENST00000372517.8	+	ERMAP
chr1	42817122	42842528	ENST00000647120.1	+	ERMAP
chr1	42817123	42844983	ENST00000487556.6	+	ERMAP
chr1	42817139	42839713	ENST00000642150.1	+	ERMAP
chr1	42824435	42825790	ENST00000470938.1	+	ERMAP
chr1	42825559	42844989	ENST00000372514.7	+	ERMAP
chr1	42829914	42844985	ENST00000328249.3	+	ERMAP
chr1	42832521	42846414	ENST00000659750.1	-	AL512353.1
chr1	42834680	42846422	ENST00000414798.1	-	AL512353.1
chr1	42836927	42846362	ENST00000416809.2	-	AL512353.1
chr1	42841897	42846387	ENST00000425076.1	-	AL512353.1
chr1	42841897	42846387	ENST00000444563.5	-	AL512353.1
chr1	42846572	42852473	ENST00000372502.5	+	ZNF691
chr1	42846608	42852477	ENST00000372508.7	+	ZNF691
chr1	42846612	42852477	ENST00000651192.1	+	ZNF691
chr1	42846625	42852477	ENST00000372507.5	+	ZNF691
chr1	42846627	42852477	ENST00000372506.5	+	ZNF691
chr1	42846636	42852477	ENST00000372504.5	+	ZNF691
chr1	42849290	42851264	ENST00000397034.3	+	ZNF691
chr1	42849554	42851754	ENST00000372503.2	+	ZNF691
chr1	42850686	42852473	ENST00000630961.1	+	ZNF691
chr1	42886596	42888767	ENST00000448759.1	-	AL512353.2
chr1	42891093	42892430	ENST00000417517.1	-	MKRN8P
chr1	42903231	42903912	ENST00000439215.1	+	ATP6V1E1P1
chr1	42925352	42958868	ENST00000426263.10	-	SLC2A1
chr1	42926155	42958848	ENST00000630287.2	-	SLC2A1
chr1	42926168	42958674	ENST00000675112.1	-	SLC2A1
chr1	42926173	42931769	ENST00000676254.1	-	SLC2A1
chr1	42926243	42958859	ENST00000674765.1	-	SLC2A1
chr1	42926248	42929499	ENST00000674545.1	-	SLC2A1
chr1	42926795	42943238	ENST00000475162.3	-	SLC2A1
chr1	42929639	42929928	ENST00000669445.1	-	SLC2A1
chr1	42930318	42958859	ENST00000625233.2	-	SLC2A1
chr1	42930697	42958836	ENST00000372500.4	-	SLC2A1
chr1	42930959	42958868	ENST00000415851.6	-	SLC2A1
chr1	42942965	42958868	ENST00000630821.1	-	SLC2A1
chr1	42951615	42952016	ENST00000629908.1	-	SLC2A1
chr1	42951615	42958859	ENST00000460369.3	-	SLC2A1
chr1	42952201	42952641	ENST00000639582.1	-	ATP6V0CP4
chr1	42954343	42958893	ENST00000676097.1	-	SLC2A1
chr1	42959048	42983358	ENST00000431759.5	+	SLC2A1-AS1
chr1	42959064	42961791	ENST00000640236.1	-	AC099795.1
chr1	42959077	42996800	ENST00000653200.1	+	SLC2A1-AS1
chr1	42959099	42996814	ENST00000664148.1	+	SLC2A1-AS1
chr1	42959103	42976428	ENST00000416689.1	+	SLC2A1-AS1
chr1	42959157	42961864	ENST00000640492.1	-	AC099795.1
chr1	42959287	42961359	ENST00000658437.1	-	AC099795.1
chr1	42991437	42991544	ENST00000384526.1	+	RNU6-880P
chr1	43023548	43023637	ENST00000636464.1	-	U6
chr1	43104085	43104497	ENST00000622380.1	+	AL161637.1
chr1	43145152	43156396	ENST00000410048.5	+	FAM183A
chr1	43147866	43156396	ENST00000409337.5	+	FAM183A
chr1	43147903	43156396	ENST00000335282.5	+	FAM183A
chr1	43147916	43156396	ENST00000410025.5	+	FAM183A
chr1	43147922	43156279	ENST00000409396.5	+	FAM183A
chr1	43152757	43156396	ENST00000481753.1	+	FAM183A
chr1	43164174	43172570	ENST00000431635.6	-	EBNA1BP2
chr1	43164183	43172290	ENST00000236051.3	-	EBNA1BP2
chr1	43164345	43171121	ENST00000463906.1	-	EBNA1BP2
chr1	43170817	43172551	ENST00000491223.5	-	EBNA1BP2
chr1	43170943	43172268	ENST00000472982.5	-	EBNA1BP2
chr1	43171440	43172282	ENST00000483082.1	-	EBNA1BP2
chr1	43171609	43270936	ENST00000461557.2	-	EBNA1BP2
chr1	43171651	43171712	ENST00000635723.1	-	MIR6733
chr1	43172329	43210878	ENST00000528956.5	+	CFAP57
chr1	43172329	43254355	ENST00000610710.4	+	CFAP57
chr1	43172329	43254358	ENST00000372492.9	+	CFAP57
chr1	43172343	43183614	ENST00000529956.5	+	CFAP57
chr1	43172413	43181679	ENST00000525227.5	+	CFAP57
chr1	43172421	43210118	ENST00000533339.1	+	CFAP57
chr1	43181681	43261910	ENST00000466927.5	-	EBNA1BP2
chr1	43184877	43186785	ENST00000534615.1	+	CFAP57
chr1	43194683	43250391	ENST00000474566.1	-	EBNA1BP2
chr1	43196416	43196536	ENST00000362370.1	+	RNA5SP46
chr1	43215355	43222278	ENST00000428122.1	+	CFAP57
chr1	43269982	43274002	ENST00000439858.6	+	TMEM125
chr1	43270024	43274002	ENST00000432792.6	+	TMEM125
chr1	43270046	43270820	ENST00000442284.1	+	TMEM125
chr1	43270945	43272769	ENST00000456751.1	+	TMEM125
chr1	43281876	43285581	ENST00000523677.6	-	C1orf210
chr1	43282660	43285617	ENST00000423420.1	-	C1orf210
chr1	43300981	43323108	ENST00000372476.8	+	TIE1
chr1	43301071	43308968	ENST00000538015.1	+	TIE1
chr1	43302449	43305343	ENST00000485125.1	+	TIE1
chr1	43307141	43309045	ENST00000480269.1	+	TIE1
chr1	43309046	43312601	ENST00000488437.1	+	TIE1
chr1	43313173	43314150	ENST00000471187.1	+	TIE1
chr1	43313187	43315291	ENST00000461061.1	+	TIE1
chr1	43313291	43320880	ENST00000473014.1	+	TIE1
chr1	43317929	43319482	ENST00000492599.1	+	TIE1
chr1	43319462	43320423	ENST00000492874.1	+	TIE1
chr1	43337817	43354466	ENST00000372470.9	+	MPL
chr1	43337848	43349537	ENST00000638732.1	+	MPL
chr1	43337848	43352772	ENST00000413998.7	+	MPL
chr1	43348287	43348844	ENST00000671634.1	-	AL139289.2
chr1	43349262	43352736	ENST00000643351.1	+	MPL
chr1	43354683	43358658	ENST00000424948.1	-	AL139289.1
chr1	43358980	43363203	ENST00000310955.11	+	CDC20
chr1	43359012	43363203	ENST00000372462.1	+	CDC20
chr1	43359766	43360864	ENST00000478882.1	+	CDC20
chr1	43361057	43363066	ENST00000482046.1	+	CDC20
chr1	43363397	43367738	ENST00000621943.4	-	ELOVL1
chr1	43363397	43368074	ENST00000413844.3	-	ELOVL1
chr1	43363400	43368011	ENST00000372458.8	-	ELOVL1
chr1	43363727	43365268	ENST00000468865.6	-	ELOVL1
chr1	43363755	43368007	ENST00000464204.5	-	ELOVL1
chr1	43363770	43368025	ENST00000470968.6	-	ELOVL1
chr1	43363835	43367999	ENST00000487209.5	-	ELOVL1
chr1	43363874	43366587	ENST00000470769.5	-	ELOVL1
chr1	43363993	43367104	ENST00000497569.5	-	ELOVL1
chr1	43364014	43367416	ENST00000482302.5	-	ELOVL1
chr1	43364049	43367738	ENST00000497050.5	-	ELOVL1
chr1	43364346	43365214	ENST00000478481.5	-	ELOVL1
chr1	43364541	43366329	ENST00000479439.5	-	ELOVL1
chr1	43364543	43368003	ENST00000465321.5	-	ELOVL1
chr1	43364559	43367616	ENST00000479686.5	-	ELOVL1
chr1	43364575	43367965	ENST00000496932.1	-	ELOVL1
chr1	43364647	43364715	ENST00000621166.1	-	MIR6734
chr1	43383916	43389800	ENST00000372457.9	-	MED8
chr1	43383916	43389808	ENST00000290663.10	-	MED8
chr1	43384725	43389784	ENST00000372455.4	-	MED8
chr1	43385112	43389155	ENST00000436713.1	+	MED8-AS1
chr1	43385672	43386931	ENST00000460803.1	-	MED8
chr1	43385977	43387647	ENST00000473560.1	-	MED8
chr1	43389881	43406894	ENST00000372450.8	+	SZT2
chr1	43389895	43454247	ENST00000562955.2	+	SZT2
chr1	43389898	43405951	ENST00000638631.1	+	SZT2
chr1	43389898	43412791	ENST00000406439.7	+	SZT2
chr1	43389898	43454247	ENST00000634258.3	+	SZT2
chr1	43389950	43410577	ENST00000357658.4	+	SZT2
chr1	43404403	43422104	ENST00000639852.1	+	SZT2
chr1	43420756	43429489	ENST00000470139.1	+	SZT2
chr1	43429841	43430697	ENST00000478140.1	+	SZT2
chr1	43431034	43451157	ENST00000648058.1	+	SZT2
chr1	43431130	43431769	ENST00000638642.1	+	SZT2
chr1	43432156	43450727	ENST00000649403.1	+	SZT2
chr1	43432476	43433095	ENST00000638769.1	+	SZT2
chr1	43435707	43437911	ENST00000639197.1	+	SZT2
chr1	43437505	43438149	ENST00000470897.2	+	SZT2
chr1	43438022	43439638	ENST00000471177.1	+	SZT2
chr1	43443617	43451081	ENST00000638263.1	+	SZT2
chr1	43445251	43452650	ENST00000460536.1	+	SZT2
chr1	43445636	43450908	ENST00000640484.1	+	SZT2
chr1	43447775	43448644	ENST00000396885.2	-	SZT2-AS1
chr1	43448538	43448611	ENST00000615179.1	+	MIR6735
chr1	43451002	43453989	ENST00000583037.5	-	HYI
chr1	43451152	43451740	ENST00000483618.1	-	HYI
chr1	43451153	43453716	ENST00000372433.5	-	HYI
chr1	43451153	43453825	ENST00000372434.5	-	HYI
chr1	43451157	43453452	ENST00000470662.5	-	HYI
chr1	43451157	43453467	ENST00000487366.5	-	HYI
chr1	43451157	43453793	ENST00000372430.8	-	HYI
chr1	43451157	43453963	ENST00000372432.5	-	HYI
chr1	43451159	43453909	ENST00000372427.5	-	HYI
chr1	43451319	43453848	ENST00000486909.1	-	HYI
chr1	43451666	43452219	ENST00000496142.1	-	HYI
chr1	43453160	43453808	ENST00000469587.1	-	HYI
chr1	43453926	43456995	ENST00000444386.1	+	HYI-AS1
chr1	43525186	43553519	ENST00000496043.5	+	PTPRF
chr1	43528561	43553539	ENST00000481019.5	+	PTPRF
chr1	43530875	43579285	ENST00000617451.4	+	PTPRF
chr1	43530882	43623666	ENST00000359947.9	+	PTPRF
chr1	43530889	43622357	ENST00000438120.5	+	PTPRF
chr1	43530902	43580078	ENST00000436724.5	+	PTPRF
chr1	43538197	43580078	ENST00000372405.1	+	PTPRF
chr1	43545075	43579284	ENST00000437607.1	+	PTPRF
chr1	43582479	43591118	ENST00000467464.1	+	PTPRF
chr1	43591020	43622283	ENST00000412568.6	+	PTPRF
chr1	43591052	43623654	ENST00000429895.5	+	PTPRF
chr1	43591449	43622842	ENST00000414879.5	+	PTPRF
chr1	43598073	43623666	ENST00000496447.5	+	PTPRF
chr1	43598838	43623663	ENST00000372407.4	+	PTPRF
chr1	43605581	43606868	ENST00000463041.1	+	PTPRF
chr1	43613139	43622863	ENST00000477970.1	+	PTPRF
chr1	43650148	43705518	ENST00000372396.4	+	KDM4A
chr1	43650148	43931014	ENST00000645057.1	+	AL451062.2
chr1	43650535	43667021	ENST00000463151.5	+	KDM4A
chr1	43653305	43667021	ENST00000485249.1	+	KDM4A
chr1	43666284	43667062	ENST00000472265.1	+	KDM4A
chr1	43685122	43707365	ENST00000663424.1	-	KDM4A-AS1
chr1	43690589	43692278	ENST00000481296.1	+	KDM4A
chr1	43699764	43708138	ENST00000398804.7	-	KDM4A-AS1
chr1	43699839	43707369	ENST00000659644.1	-	KDM4A-AS1
chr1	43699922	43707341	ENST00000439057.5	-	KDM4A-AS1
chr1	43702096	43704469	ENST00000434346.1	-	KDM4A-AS1
chr1	43703394	43704746	ENST00000453015.1	-	KDM4A-AS1
chr1	43704313	43707330	ENST00000418149.1	-	KDM4A-AS1
chr1	43705823	43838249	ENST00000532911.6	+	ST3GAL3
chr1	43705823	43894420	ENST00000646096.1	+	ST3GAL3
chr1	43707523	43894416	ENST00000643886.1	+	ST3GAL3
chr1	43707523	43931141	ENST00000643597.1	+	ST3GAL3
chr1	43707526	43930891	ENST00000372372.7	+	ST3GAL3
chr1	43707532	43931162	ENST00000361400.9	+	ST3GAL3
chr1	43707532	43931165	ENST00000330208.6	+	ST3GAL3
chr1	43707532	43931165	ENST00000335430.10	+	ST3GAL3
chr1	43707532	43931165	ENST00000545417.5	+	ST3GAL3
chr1	43707535	43931122	ENST00000372374.7	+	ST3GAL3
chr1	43707535	43931131	ENST00000643252.1	+	ST3GAL3
chr1	43707535	43931140	ENST00000647237.1	+	ST3GAL3
chr1	43707535	43931151	ENST00000642331.1	+	ST3GAL3
chr1	43707535	43931159	ENST00000347631.8	+	ST3GAL3
chr1	43707537	43931159	ENST00000361392.9	+	ST3GAL3
chr1	43707538	43838283	ENST00000646109.1	+	ST3GAL3
chr1	43707539	43930221	ENST00000533997.6	+	ST3GAL3
chr1	43707540	43931146	ENST00000353126.8	+	ST3GAL3
chr1	43707542	43931077	ENST00000643283.1	+	ST3GAL3
chr1	43707542	43931139	ENST00000642934.1	+	ST3GAL3
chr1	43707542	43931144	ENST00000645640.1	+	ST3GAL3
chr1	43707543	43931139	ENST00000351035.8	+	ST3GAL3
chr1	43707544	43930221	ENST00000489897.6	+	ST3GAL3
chr1	43707544	43931160	ENST00000642949.1	+	ST3GAL3
chr1	43707546	43920217	ENST00000530154.5	+	ST3GAL3
chr1	43707546	43931129	ENST00000645705.1	+	ST3GAL3
chr1	43707546	43931146	ENST00000645142.1	+	ST3GAL3
chr1	43707546	43931146	ENST00000646971.1	+	ST3GAL3
chr1	43707548	43931122	ENST00000646027.1	+	ST3GAL3
chr1	43707550	43931139	ENST00000646069.1	+	ST3GAL3
chr1	43707552	43930847	ENST00000642504.1	+	ST3GAL3
chr1	43707554	43931151	ENST00000647148.1	+	ST3GAL3
chr1	43707555	43931130	ENST00000262915.8	+	ST3GAL3
chr1	43707557	43838261	ENST00000479383.6	+	ST3GAL3
chr1	43707565	43739322	ENST00000646776.1	+	ST3GAL3
chr1	43707565	43931122	ENST00000647482.1	+	ST3GAL3
chr1	43707571	43931009	ENST00000645394.1	+	ST3GAL3
chr1	43707625	43930313	ENST00000647128.1	+	ST3GAL3
chr1	43707639	43772734	ENST00000484868.2	+	ST3GAL3
chr1	43707642	43838311	ENST00000461066.6	+	ST3GAL3
chr1	43707646	43931152	ENST00000361746.9	+	ST3GAL3
chr1	43707647	43922584	ENST00000645034.1	+	ST3GAL3
chr1	43707684	43931141	ENST00000645165.1	+	ST3GAL3
chr1	43707689	43931151	ENST00000647134.1	+	ST3GAL3
chr1	43707840	43931129	ENST00000644195.1	+	ST3GAL3
chr1	43709391	43727343	ENST00000437753.1	-	ST3GAL3-AS1
chr1	43716466	43716556	ENST00000637979.1	+	U6
chr1	43736232	43931122	ENST00000372368.7	+	ST3GAL3
chr1	43736232	43931127	ENST00000642194.1	+	ST3GAL3
chr1	43736236	43931140	ENST00000646686.1	+	ST3GAL3
chr1	43736262	43842785	ENST00000646416.1	+	ST3GAL3
chr1	43736262	43930202	ENST00000372362.6	+	ST3GAL3
chr1	43736262	43930202	ENST00000531451.5	+	ST3GAL3
chr1	43736262	43930221	ENST00000372365.5	+	ST3GAL3
chr1	43736262	43930221	ENST00000372367.5	+	ST3GAL3
chr1	43736262	43930221	ENST00000372369.5	+	ST3GAL3
chr1	43736262	43930221	ENST00000490541.6	+	ST3GAL3
chr1	43736262	43930221	ENST00000528371.5	+	ST3GAL3
chr1	43736262	43930221	ENST00000530581.5	+	ST3GAL3
chr1	43736262	43930221	ENST00000531816.1	+	ST3GAL3
chr1	43736262	43930221	ENST00000531993.6	+	ST3GAL3
chr1	43736262	43930221	ENST00000533212.5	+	ST3GAL3
chr1	43736262	43930522	ENST00000469715.6	+	ST3GAL3
chr1	43736262	43930709	ENST00000361812.9	+	ST3GAL3
chr1	43736262	43930972	ENST00000372366.6	+	ST3GAL3
chr1	43736278	43930760	ENST00000645117.1	+	ST3GAL3
chr1	43736319	43931141	ENST00000533933.6	+	ST3GAL3
chr1	43736335	43930988	ENST00000332628.11	+	ST3GAL3
chr1	43736340	43931139	ENST00000644922.1	+	ST3GAL3
chr1	43736340	43931146	ENST00000643813.1	+	ST3GAL3
chr1	43736368	43931092	ENST00000644287.1	+	ST3GAL3
chr1	43743470	43743741	ENST00000427515.2	+	AL451062.1
chr1	43792101	43931127	ENST00000647503.1	+	ST3GAL3
chr1	43792106	43920550	ENST00000461375.2	+	ST3GAL3
chr1	43799629	43801692	ENST00000646113.1	+	ST3GAL3
chr1	43814926	43930953	ENST00000642780.1	+	ST3GAL3
chr1	43838249	43931139	ENST00000644645.1	+	ST3GAL3
chr1	43838621	43838683	ENST00000635807.1	+	MIR6079
chr1	43850299	43851611	ENST00000419974.2	-	SHMT1P1
chr1	43879243	43930838	ENST00000645644.1	+	ST3GAL3
chr1	43894142	43931131	ENST00000644016.1	+	ST3GAL3
chr1	43894187	43914621	ENST00000647299.1	+	ST3GAL3
chr1	43894236	43930765	ENST00000644378.1	+	ST3GAL3
chr1	43894384	43914639	ENST00000645161.1	+	ST3GAL3
chr1	43898237	43920485	ENST00000646032.1	+	ST3GAL3
chr1	43899224	43917029	ENST00000643989.1	+	ST3GAL3
chr1	43899335	43930282	ENST00000645012.1	+	ST3GAL3
chr1	43899587	43930176	ENST00000490502.1	+	ST3GAL3
chr1	43919101	43931057	ENST00000645670.1	+	ST3GAL3
chr1	43919112	43931139	ENST00000495482.2	+	ST3GAL3
chr1	43933319	43937239	ENST00000414809.7	+	ARTN
chr1	43933674	43936231	ENST00000477048.5	+	ARTN
chr1	43933718	43936231	ENST00000471394.6	+	ARTN
chr1	43933800	43937240	ENST00000372359.10	+	ARTN
chr1	43933811	43937240	ENST00000498139.6	+	ARTN
chr1	43933845	43936346	ENST00000491846.5	+	ARTN
